Data,Hora,Sensor,Elev,Azim,Dist,X_Rampa,Y_Rampa,Z_Rampa,BPS,BPG,BPD,Modo,Snl_Rdo,Valido,SAGADA,Vx,Vy,Vz,Erro_IF,Retardo
25/07/2023,13:30:01:125,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:135,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:145,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:155,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:165,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:175,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:185,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:195,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:205,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:215,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:225,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:235,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:245,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:255,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:265,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:275,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:285,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:295,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:305,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:315,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:325,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:335,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:345,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:355,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:365,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:375,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:385,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:395,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:405,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:415,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:01:425,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
